docid,recordid,oclc,locnum,author,imprint,date,birthdate,firstpub,enumcron,subjects,title,nationality,gender,genretags
nyp.33433082332010,5104160,9613473,PS3515.O585B603 1907,"Hope, Laura Lee.",New York;G,1907,,1907,,Seashore;B,The Bobbsey twins at the ,,f,teamred | locdetmyst | juvenile | drop
mdp.39015063941135,322679,1108662,PZ3.M943Wi,"Murfree, Mary Noailles,",New York;D,1907,1850,1907,,,The windfall;,us,f,teamred | random
nyp.33433074870282,449471,2359966,PZ3.H498St,"Hewlett, Maurice,",New York;D,1907,1861,1907,,,The stooping lady,uk,m,teamred | random
nyp.33433075766463,8670000,37301807,,"Perrin, Alice,",London;Cha,1908,1867,1908,,,The stronger claim,uk,f,teamred | random
njp.32101066455278,8927893,8823315,,"Bodkin, M. McDonnell",London;Unw,1908,1850,1908,,,The quests of Paul Beck,ir,m,det100 | teamblack
uc2.ark+=13960=t10p0xs0f,6533865,11601379,,"Harding, Ellison.",London;T. ,1908,1883,1908,,Utopias;Sc,The woman who vowed,us,m,teamblack | locscifi
uc2.ark+=13960=t3707xt9q,7671080,4280505,,"Rinehart, Mary Roberts,",New York :,1908,1876,1908,,,The circular staircase,us,f,teamred | det100 | locdetmyst
coo.31924013525971,11250402,63964163,,"Moore, Frank Frankfort,",Leipzig;B.,1908,1855,1908,,,An amateur adventuress,ir,m,teamred | random
uc2.ark+=13960=t9s17v81t,6501599,2067017,PZ3.E28W,"Egan, Maurice Francis,",New York;T,1909,1852,1909,,,The wiles of Sexton Magin,us,m,teamblack | random
uc2.ark+=13960=t4qj79t1j,7668984,5338172,,"Orczy, Emmuska Orczy,",New York;D,1909,1865,1909,,,The man in the corner,uk,f,teamred | det100
uc2.ark+=13960=t0pr7n71q,1463577,296462,PZ1.H31Lo,"Hawthorne, Julian,",New York;T,1909,1846,1909,v.9,,The lock and key library:,us,m,det100 | teamblack
nyp.33433075746895,8667440,2160312,PS3537.E69C64 1911,"Serviss, Garrett Putman,",New York;L,1911,1851,1909,,Science fi,A Columbus of space,us,m,teamblack | anatscifi | locscifi
mdp.39015011950758,205906,7041750,,"Post, Melville Davisson,",New York;L,1923,1869,1909,,,"Randolph Mason, corrector",us,m,det100 | teamblack
uc2.ark+=13960=t7hq41f5s,7914996,43830225,PR6003.I3R66 1909,"Ayscough, John,",Bristol;J.,1909,1858,1909,,,A Roman tragedy and other,uk,m,teamblack | random
uc2.ark+=13960=t83j39v3z,7649263,37033520,,"Rinehart, Mary Roberts,",New York;G,1909,1876,1909,,,The man in lower ten,us,f,det100 | teamblack
uc2.ark+=13960=t40r9p16h,242133,3667675,,"Newbolt, Henry John,",Edinburgh;,1909,1862,1909,,History;Fi,The new June,uk,m,teamblack | random
nyp.33433076060080,449342,175242,PZ3.P182Bi,"Palmer, Frederick,",New York;M,1914,1873,1910,,,The big fellow,us,m,teamblack | random
inu.30000011752437,6058720,3304072,,"Wharton, Edith,",London;Mac,1910,1862,1910,,,Tales of men and ghosts,us,f,teamred | pbgothic
mdp.39015006963881,245776,3692078,PZ3.M382At,"Mason, A. E. W.",New York;G,1910,1865,1910,,,At the Villa Rose,uk,m,teamred | det100
nyp.33433074848668,6501584,3141215,PZ3.E30We,"Eggleston, George Cary,",Boston;Lot,1910,1839,1910,,,Westover of Wanalah;,us,m,teamblack | random
njp.32101068574530,8972389,11192817,,"Orczy, Emmuska Orczy,",London;New,1910,1865,1910,,,Lady Molly of Scotland Ya,uk,f,det100 | teamblack
uva.x001752097,9794563,704115751,,"Leroux, Gaston,",New York;G,1910,1868,1910,,,The mystery of the yellow,fr,m,teamred | det100
nyp.33433075968796,8679134,259161,HQ281.R6,"Roe, Clifford Griffith,",New York;F,1910,1875,1910,,Chicago;Pr,Panders and their white s,us,m,teamred | random
uc1.$b807274,7939341,30612223,PS2142.L6 1911,"Johnston, Mary,",Boston;New,1911,1870,1911,,"Civil War,",The long roll,us,f,teamblack | random
nyp.33433076073786,8660028,4530196,PZ3.W463GlPS3545.E533,"Wells, Carolyn,",Philadelph,1911,1862,1911,,,The gold bag,us,f,teamred | det100
uc2.ark+=13960=t5j961w9x,7682673,24992290,,"Reeve, Arthur B.",New York;H,1911,1880,1911,,,The poisoned pen,us,m,det100 | teamblack
uc2.ark+=13960=t3pv6dr2h,6497282,1484027,Z682.5.P31,"Pearson, Edmund Lester,",Boston;Sma,1911,1880,1911,,Anecdotes;,The librarian at play,us,m,teamblack | random
uc2.ark+=13960=t3xs5jt7k,7665238,4153323,PZ3.L97Go2,"Lummis, Charles Fletcher,",Chicago;A.,1911,1859,1911,,,The gold fish of Gran Chi,us,m,teamred | random
uc1.32106001930137,7123380,993828,,"Chesterton, G. K.",New York;J,1911,1874,1911,,Clergy;Cat,The innocence of Father B,uk,m,teamred | det100 | locdetmyst
uc2.ark+=13960=t5v69m62h,6750666,8594300,,"Cowan, James,",London [et,1911,1870,1911,,b. 1837;Be,The adventures of Kimble ,nz,m,teamred | random
uc1.b3578339,6674546,822499,,"Crawford, F. Marion",New York;M,1911,1854,1911,,,Wandering ghosts,us,m,teamred | pbgothic
mdp.39076002194574,9926874,1811552,,"Appleton, Victor.",New York;G,1911,,1911,,Aeronautic,Tom Swift and his sky rac,,m,teamblack | locdetmyst | juvenile | drop
uc2.ark+=13960=t2794143s,7652854,28946565,,"Burroughs, Edgar Rice,",New York;G,1917,1875,1912,,,A princess of Mars,us,m,teamred | anatscifi
uc2.ark+=13960=t6zw19x28,7646115,2329444,PZ3.P592Ch,"Pidgin, Charles Felton,",Boston;L. ,1912,1844,1912,,,The chronicles of Quincy ,us,m,det100 | teamblack
mdp.39015074379739,5668909,47014670,,"Baum, L. Frank",Chicago;Re,1912,1856,1912,,Mystery an,Aunt Jane's nieces on vac,,m,teamred | locdetective
uc2.ark+=13960=t0xp6w75n,7671273,2381540,HF6161.M8R7,"Rose, William Ganson,",New York;D,1912,1878,1912,,,Putting Marshville on the,us,m,teamblack | random
coo.31924051019580,11405226,8518122,,"Doyle, Arthur Conan,","New York, ",1912,1859,1912,,,The lost world,uk,m,teamred | anatscifi
mdp.39015001553547,630442,1161842,PZ3.L846Sc,"London, Jack,",New York;T,1915,1876,1912,,,The scarlet plague,us,m,teamblack | anatscifi
ien.35556027278860,11922564,1238387,,"Gowans, Adam L.",London;Gow,1912,,1912,,Ghost stor,Famous ghost-stories by E,,m,teamblack | locghost
uc1.b4095602,390158,3635323,PR6011.O53M53,"Ford, Ford Madox,",London;How,1913,1873,1913,,,Mr. Fleight,uk,m,teamblack | random
uc1.b3123600,242309,1019595,PZ3.A1324Wh,"Abbott, Eleanor Hallowell",New York;T,1913,1872,1913,,,The white linen nurse,us,f,teamblack | random
mdp.39015085433426,5069382,4122645,,"Carson, James.",New York;C,1913,,1913,,Horses;Cow,The saddle boys of the Ro,,m,teamblack | locdetmyst
nyp.33433076053762,8659914,3656581,,"Rinehart, Mary Roberts,",Indianapol,1913,1876,1913,,,The case of Jennie Brice,us,f,det100 | teamblack
nyp.33433082344916,7818078,2145323,PZ7.H772Oua 1913,"Hope, Laura Lee.",New York;G,1913,,1913,,Adventure ,The outdoor girls at Rain,,f,teamred | locdetmyst | juvenile | drop
mdp.39015031332862,472226,8415311,PZ3.B45G,"Beresford, J. D.",London;W. ,1913,1873,1913,,,Goslings,uk,m,teamred | anatscifi
mdp.39015048759016,1185742,2273628,PR6037.I73C6,"Sinclair, May.",New York;L,1913,1863,1913,,,The combined maze,uk,f,teamred | random
mdp.39076002657265,9930140,144204779,,"Aldridge, Janet.",Philadelph,1913,,1913,,Hazing;Con,The Meadow-Brook girls un,,f,teamred | locghost
uc2.ark+=13960=t3222sk2s,7660530,21893050,,"Green, Anna Katharine,",New York;A,1913,1846,1913,,,"Room number 3, and other ",us,us,det100 | teamblack
inu.30000118528748,6953506,5194382,,"Knight, Arthur Lee.",London;G. ,1913,,1913,,Mahratta (,Told in the Indian twilig,uk,m,teamred | random
mdp.39015083943665,9452081,3251839,PZ7.E58RB,"Emerson, Alice B.",New York;C,1913,1869,1913,,Detective ,Ruth Fielding at Briarwoo,,f,teamblack | locdetmyst | juvenile | drop
uc2.ark+=13960=t8z89353s,7670869,2338963,,"Reeve, Arthur B.",New York;H,1913,1880,1913,,,"Constance Dunlap, woman d",us,m,teamred | det100
nc01.ark+=13960=t2d80cp48,4989025,3251820,,"Emerson, Alice B.",New York;C,1913,1869,1913,,Orphans;De,Ruth Fielding at Lighthou,,f,teamblack | locdetmyst | juvenile | drop
uva.x000429691,9781843,7270815,,"Leblanc, Maurice,",New York;W,1913,1864,1913,,,The confessions of Arsène,fr,m,teamred | det100
uc2.ark+=13960=t5x63bm4w,7647157,4694442,PZ3.D29Ti,"Daviess, Maria Thompson.",New York;T,1913,1872,1913,,,The tinder-box,us,f,teamblack | random
uva.x000315604,7656595,4839114,,"Cullum, Ridgwell,",New York;A,1914,1867,1914,,,The way of the strong;,uk,m,teamred | random
uc2.ark+=13960=t1bk18j97,7650861,1957658,,"Bell, J. J.","New York, ",1914,1871,1914,,,The misadventures of Jose,uk,m,teamblack | random
nyp.33433076047871,8660161,3336052,,"Reeve, Arthur B.",New York;V,1914,1880,1914,,American f,The dream doctor,us,m,teamred | det100
nyp.33433074879481,6534259,1842255,PZ3.L796Fo,"Locke, William John,",New York;J,1914,1863,1914,,,The fortunate youth,uk,m,teamblack | random
mdp.39015000613680,1185912,9344265,PZ3.S64657Mac,"Bramah, Ernest,",London;Met,1914,1868,1914,,,Max Carrados,uk,m,det100 | teamblack
inu.39000005852087,1277225,2608863,,"Seymour, St. John D.",Dublin;Hod,1914,,1914,,Ireland;Gh,True Irish ghost stories,,m,teamred | locghost
uc2.ark+=13960=t1zc7v45r,7676125,6056454,,"Vance, Louis Joseph,",New York;A,1914,1879,1914,,,The lone wolf,us,m,det100 | teamblack
nyp.33433075749287,8666794,9825754,PZ3.O85A,"Ostrander, Isabel,",New York;W,1915,1883,1915,,,At one-thirty,us,f,teamred | det100
nyp.33433074841895,8657475,7481117,PZ3.B4699K,"Bianchi, Martha Dickinson",New York;D,1915,1866,1915,,,The Kiss of Apollo,us,f,teamred | random
nyp.33433074949615,8664711,16940711,,"Cresswell, Clarice M.",New York;D,1915,,1915,,,The making and breaking o,us,m,teamred | random
nyp.33433075741243,8665174,19903160,,"Fowler, Ellen Thorneycrof",New York;G,1915,1860,1915,,,Ten degrees backward,uk,f,teamred | random
mdp.39076002286230,9926708,10413912,,"Seaman, Augusta Huiell,",New York;C,1915,1879,1915,,Abandoned ,The boarded-up house,us,f,teamblack | locdetmyst | juvenile | drop
nyp.33433082529995,5286519,4560824,,"Emerson, Alice B.",New York;C,1915,1869,1915,,Juvenile f,Ruth Fielding and the gyp,,f,teamblack | locdetmyst | juvenile | drop
umn.319510024638086,11223763,3453283,PZ7.A498Daa 1915,"Rockwood, Roy.",New York;C,1915,,1915,,"Dashaway, ","Dave Dashaway, air champi",us,m,teamblack | locdetmyst | juvenile | drop
nyp.33433082332051,5104159,2683185,,"Hope, Laura Lee.",New York;G,1916,,1916,,Treasure t,The Bobbsey twins at home,,f,teamred | locdetmyst | juvenile | drop
nyp.33433076076144,323903,19933920,PZ3.W463Br,"Wells, Carolyn,",New York;G,1916,1862,1916,,,The bride of a moment,us,f,teamred | det100
uc2.ark+=13960=t53f4nk4h,7677039,12359858,PZ7.W765L,"Winterburn, Florence Hull",New York;L,1916,1858,1916,,,Liberty hall,us,f,teamred | random
nyp.33433076081649,8661586,1461667,PZ3.S5545W,"Sherwood, Margaret Polloc",Boston;Lit,1916,1889,1916,,,The worn doorstep,us,f,teamblack | random
uc1.b3728033,6704620,1222065,PZ3.B482APS3503.I54,"Biggers, Earl Derr,",Indianapol,1916,1884,1916,,Police;Hon,The agony column,us,m,det100 | teamblack
nyp.33433074968045,6871794,718243,,"Doyle, Arthur Conan,",New York;G,1917,1859,1917,,Private in,His last bow,other,m,teamred | locdetmyst
uc2.ark+=13960=t3125st2r,7664297,11295112,,"Kerr, Doris Boake,",Melbourne;,1917,1889,1917,,,Painted clay,au,f,teamred | random
uva.x001705067,6154959,1161318,PS3523.O46M5 1917,"London, Jack,",New York;T,1917,1876,1917,,Dogs;Ficti,"Michael, brother of Jerry",us,m,teamred | random
nyp.33433082305636,5805695,3677737,,"Hope, Laura Lee.",New York;G,1917,,1917,,Bobbsey Tw,The Bobbsey twins in a gr,,f,teamblack | locdetmyst | juvenile | drop
mdp.39076002607435,9929466,18717400,,"Seaman, Augusta Huiell,",New York;C,1917,1879,1917,,Orphans;De,The girl next door,us,f,teamblack | locdetmyst | juvenile | drop
nyp.33433082332077,8689217,2574268,,"Hope, Laura Lee.",New York;G,1917,,1917,,Bobbsey Tw,The Bobbsey twins on Blue,,f,teamblack | locdetmyst | juvenile | drop
mdp.39015010776881,205914,1016010,PZ3.P844U,"Post, Melville Davisson,",New York;L,1918,1869,1918,,,"Uncle Abner, master of my",us,m,det100 | teamblack
nyp.33433082530043,5377923,4521263,,"Emerson, Alice B.",New York;C,1918,1869,1918,,Orphans;De,Ruth Fielding in the Red ,,f,teamblack | locdetmyst | juvenile | drop
nyp.33433068179559,8622021,1049048,PZ1.F885Gr,"French, Joseph Lewis,",New York;D,1918,,1918,,Ghost stor,"Great ghost stories, sele",,m,teamblack | locghost
uc2.ark+=13960=t2h70dm6b,483166,6564594,,"Hewlett, Maurice,",London;Con,1918,1861,1918,,Norse;Fict,Gudrid the Fair,uk,m,teamred | random
uc2.ark+=13960=t7pn9035n,7676569,5954676,,"Webster, F. A. M.",London;McB,1918,1886,1918,,Ulster cyc,The hound of Cullan,uk,m,teamred | random
nyp.33433082305644,5104161,2574200,PZ7.H772Bd,"Hope, Laura Lee.",New York;G,1918,,1918,,Treasure t,The Bobbsey twins on the ,,f,teamblack | locdetmyst | juvenile | drop
nyp.33433074807342,123924,1949982,PZ3.B9766Ph,"Butler, Ellis Parker,",Boston;New,1918,1869,1918,,,Philo Gubb,us,m,det100 | teamblack
nyp.33433082485636,7661558,8175832,D541.H8,"Hunt, Edward Eyre,",Garden Cit,1918,1885,1918,,"World War,",Tales from a famished lan,us,m,teamred | random
nyp.33433076054620,8659658,4412484,PS3529.S68T78 1919,"Ostrander, Isabel,",New York;W,1919,1883,1919,,,The twenty-six clues,us,f,teamred | det100
uc2.ark+=13960=t1pg1k81k,7661701,7557147,PZ3.J2355Th,"James, M. R.",New York;L,1919,1862,1919,,,A thin ghost and others,uk,m,teamred | pbgothic
nyp.33433082344874,5346603,2109184,,"Hope, Laura Lee.",New York;G,1919,,1919,,Washington,The Bobbsey twins in Wash,,f,teamblack | locdetmyst | juvenile | drop
uc2.ark+=13960=t7np1xq4d,6934614,3715366,,"Pease, Howard,",London;E. ,1919,,1919,,Ghost stor,Border ghost stories,,m,teamblack | locghost
nyp.33433082251855,386065,909937,PZ3.A869Tr,"Atherton, Gertrude Frankl",New York;D,1919,1857,1919,,,Transplanted;,us,f,teamred | random
nyp.33433082530050,5056640,4521206,,"Emerson, Alice B.",New York;C,1919,1869,1919,,Orphans;Gr,Ruth Fielding homeward bo,,f,teamblack | locdetmyst | juvenile | drop
mdp.39015013429249,622799,23922457,,"Cabell, James Branch,",New York;R,1923,1879,1919,,,Jurgen,us,m,teamred | pbgothic
mdp.39076002660483,9930255,3194900,,"Snell, Roy J.",Chicago;Th,1920,,1920,,Adventure ,Triple spies,,m,teamblack | locdetmyst | juvenile | drop
nyp.33433082524822,5959535,20434210,,"Bailey, Arthur Scott,",New York;G,1920,1877,1920,,,The tale of Grumpy Weasel,us,m,teamblack | random
nyp.33433074926712,8664212,7362222,,"Benson, E. F.",New York;D,1920,1867,1920,,,"""Queen Lucia""",uk,m,teamred | random
LindsayVoyageToArcturus1920,,,,"Lindsay, David,",,1920,1876,1920,,,Voyage To Arcturus,uk,m,teamred | chifantasy | anatscifi
4485,,,,"Raine, William MacLeod,",New York G,1920,1871,1920,,,Oh: you Tex!,us,m,chirandom | teamred
nyp.33433082305628,5805691,4153330,,"Hope, Laura Lee.",New York;G,1920,,1920,,Cowboys;Bo,The Bobbsey twins in the ,,f,teamred | locdetmyst | juvenile | drop
4463,27,,,"Martin, Helen Reimensnyder,","Garden City; New York Doubleday, Page & Co. 1920",1920,1868,1920,,,The schoolmaster of Hessville,us,f,chirandom | teamred
nyp.33433082514302,1441797,1698283,PZ1.F885Be,"French, Joseph Lewis,",New York;B,1920,,1920,,Ghost stor,The best psychic stories,,m,teamred | locghost
4459,,,,"London, Jack,",New York M,1920,1876,1920,,Fantasy fi,Hearts of three,us,m,chifantasy | teamblack
4458,,,,"Lindsay, Vachel,",New York M,1920,1879,1920,,Springfiel,The golden book of Spring,us,m,chiutopia | teamblack
4497,,,,"Stringer, Arthur,",New York G,1920,1874,1920,,,The prairie omnibus,us,m,chirandom | teamred
mdp.39015063960556,249234,48101478,,"Stevenson, Burton Egbert,",New York;D,1921,1872,1920,,,The gloved hand;,us,m,det100 | teamblack
nyp.33433075746812,8667895,5208175,,"Shanks, Edward,",New York;F,1920,1892,1920,,Time trave,The people of the ruins,uk,m,teamblack | anatscifi
nyp.33433074970710,8667899,8661270,,"Christie, Agatha,",London;New,1920,1890,1920,,,The mysterious affair at ,uk,f,det100 | teamblack | cozy
mdp.39015031235545,437866,3945313,PZ3.H498Lig,"Hewlett, Maurice,",New York;H,1920,1861,1920,,Fiction;Ã,The light heart,uk,m,teamred | random
4449,,,,"James, Henry,",New York T,1920,1843,1920,,,Master Eustace,us,m,chirandom | teamblack
nyp.33433076047608,7669798,2003540,PZ3.R36Qui,"Rice, Alice Caldwell Hega",New York;T,1921,1870,1921,,,Quin,us,f,teamred | random
4625,,,,"Traprock, Walter E.",New York; ,1921,1877,1921,,Oceania,The cruise of the Kawa : ,us,m,chirandom | teamred
4529,,,,"Byrne, Donn,",New York C,1921,1889,1921,,,Messer Marco Polo,us,m,chirandom | chifantasy | teamblack
mdp.39076002194368,9926721,23916790,,"Seaman, Augusta Huiell,",New York;C,1921,1879,1921,,Paper mone,The dragon's secret,us,f,teamred | locdetmyst | juvenile | drop
4528,,,,"Burroughs, Edgar Rice,",New York G,1921,1875,1921,,Science fi,The mucker,us,m,teamblack | chiscifi
4599,,,,"Nathan, Robert,",New York R,1921,1894,1921,,Teachers;U,Autumn,us,m,chirandom | teamred
nyp.33433075732655,8667561,1376917,PZ1.S285Hu,AnonymousGhost3,New York;L,1921,,1921,,Ghost stor,Humorous ghost stories,,,teamred | locghost
mdp.39015005108595,1277224,1154670,PZ1.R35Ha,"Rhys, Ernest,",London;D. ,1921,,1921,,Ghost stor,The haunters & the haunte,,m,teamred | locghost
mdp.39015002753815,1377718,6139167,PR6037.A35D7,"Sackville-West, V.",New York;G,1922,1892,1921,,,The dragon in shallow wat,uk,f,teamred | random
4605,,,,"Putnam, Nina Wilcox,",New York G,1921,1888,1921,,Broadway (,West Broadway,us,f,chirandom | teamred
4514,,,,"Bennett, John,",New York C,1921,1865,1921,,Mothers an,Madame Margot,us,m,teamred | chifantasy
4611,,,,"Sawyer, Ruth,",New York; ,1921,1880,1921,,,The silver sixpence,us,f,chirandom | teamred
uc1.32106002123104,628755,1024921,PZ3.L5884Ba,"Lewis, Sinclair,",New York;H,1922,1885,1922,,,Babbitt,us,m,teamred | random
dul1.ark+=13960=t16m3xm4f,10943531,6700740,,"Hamilton, Cicely,",London;Leo,1922,1872,1922,,Utopias,Theodore savage,uk,f,teamred | femscifi | anatscifi
4705,,,,"Marquand, John P.",New York C,1922,1893,1922,,United Sta,The unspeakable gentleman,us,m,chirandom | teamred
njp.32101067301786,8957320,20905368,PR8389.S575M8 1922a,"Munford, George Frederick",London;Som,1922,,1922,,England;Le,Ghosts and legends of Sou,,m,teamblack | locghost
4708,,,,"Masters, Edgar Lee,",New York M,1922,1868,1922,,"Douglas, S",Children of the market pl,us,m,chirandom | teamred
uc2.ark+=13960=t93776z9n,7647543,39486112,PZ1.F885Ma,"French, Joseph Lewis,",Garden Cit,1922,,1922,v.4,Ghost stor,Masterpieces of mystery,,m,teamblack | locdetmyst | locghost
mdp.39015063096088,5133156,3305841,PS3537.Q6W5 1922,"Squier, Emma-Lindsay,",New York;C,1922,1892,1922,,Animals;Fi,The wild heart,us,f,teamred | random
uc1.31822033251729,7255477,37069539,PR8208.O719F38 1922,"Forrest, Michael D",Kensington,1922,1883,1922,,Missions;C,Father Justin,au,m,teamred | random
nyp.33433074968417,8664999,7254452,PZ3.D7452We,"Dougherty, Harry V.",Boston;Ric,1922,1873,1922,,Detective ,Well-- who killed him?,us,m,teamred | locdetmyst
