docid,recordid,oclc,locnum,author,imprint,date,birthdate,firstpub,enumcron,subjects,title,nationality,gender,genretags
4449,,,,"James, Henry,",New York Thomas Seltzer 1920,1920,1843,1920,,,Master Eustace,us,,chirandom
4458,,,,"Lindsay, Vachel,",New York Macmillan Co. 1920,1920,1879,1920,,Springfield (Ill.) -- In literature;Springfield (Ill.);Utopias in literature,The golden book of Springfield,us,,chiutopia
4459,,,,"London, Jack,",New York Macmillan Co. 1920,1920,1876,1920,,Fantasy fiction;Fantastic fiction,Hearts of three,us,,chifantasy
4485,,,,"Raine, William MacLeod,",New York Grosset & Dunlap 1920,1920,1871,1920,,,Oh: you Tex!,us,,chirandom
4497,,,,"Stringer, Arthur,",New York Grosset & Dunlap 1920,1920,1874,1920,,,The prairie omnibus,us,,chirandom
4514,,,,"Bennett, John,",New York Century Co. 1921,1921,1865,1921,,Mothers and daughters;South Carolina -- Charleston;Happiness;Charleston (S.C.) -- History;Fantasy fiction;History;Charleston (S.C.);Soul,Madame Margot,us,,chifantasy
4528,,,,"Burroughs, Edgar Rice,",New York Grosset & Dunlap 1921,1921,1875,1921,,"Science fiction;Science fiction, American",The mucker,us,,chiscifi
4529,,,,"Byrne, Donn,",New York Century Co. 1921,1921,1889,1921,,,Messer Marco Polo,us,,chirandom | fantasy
4599,,,,"Nathan, Robert,",New York R.M. McBride & Co. 1921,1921,1894,1921,,Teachers;United States;Country life -- United States;Country life;New England,Autumn,us,,chirandom
4605,,,,"Putnam, Nina Wilcox,",New York George H. Doran Co. 1921,1921,1888,1921,,"Broadway (New York, N.Y.)",West Broadway,us,,chirandom
4611,,,,"Sawyer, Ruth,",New York; London Harper & Bros. 1921,1921,1880,1921,,,The silver sixpence,us,,chirandom
4625,,,,"Traprock, Walter E.",New York; London G.P. Putnam's Sons 1921,1921,1877,1921,,Oceania,The cruise of the Kawa : wanderings in the South seas,us,,chirandom
4655,,,,"Burroughs, Edgar Rice,",New York Grosset & Dunlap 1922,1922,1875,1922,,"Science fiction;Science fiction, American;Mars (Planet);Carter, John (Fictitious character)",The chessmen of Mars,us,,chiscifi
4690,,,,"Hough, Emerson,",New York Harper & Bros. 1922,1922,1857,1922,,Missouri River,The young Alaskans on the Missouri,us,,chirandom
4698,,,,"Kyne, Peter B.",New York Cosmopolitan Book Corp. 1922,1922,1880,1922,,Shipping companies (Marine transportation),Cappy Ricks retires,us,,chirandom
4705,,,,"Marquand, John P.",New York Charles Scribner's Sons 1922,1922,1893,1922,,United States;Dueling;Exiles,The unspeakable gentleman,us,,chirandom
4708,,,,"Masters, Edgar Lee,",New York Macmillan Co. 1922,1922,1868,1922,,"Douglas, Stephen Arnold;United States -- History -- 1815-1861",Children of the market place,us,,chirandom
4720,,,,"Paine, Ralph Delahaye,",Philadelphia Pennsylvania Pub. 1922,1922,1871,1922,,Pirates -- Juvenile fiction,Blackbeard: buccaneer,us,,chirandom | juvenile
4730,,,,"Sampson, Emma Speed,",Chicago Reilly & Lee Co. 1922,1922,1868,1922,,Orphans -- Virginia;Girls -- Virginia;Virginia,The shorn lamb,us,,chirandom
