docid,recordid,oclc,locnum,author,imprint,date,birthdate,firstpub,enumcron,subjects,title,nationality,gender,genretags
nnc1.0040976025,8394195,43496979,,,New York;White & Allen;1888,1888,,,v.4,Ghost stories;Short stories,Weird tid-bits,,,locghost
nnc1.0111708131,8394195,43496979,,,New York;White & Allen;1888,1888,,,v.1,Ghost stories;Short stories,Weird tid-bits,,,locghost
nnc1.0113307762,8394195,43496979,,,New York;White & Allen;1888,1888,,,v.3,Ghost stories;Short stories,Weird tid-bits,,,locghost
uc1.$b382267,9260126,9118332,,,London;Cassell;1891.,1891,,1891,,Detective and mystery stories,Eleven possible cases,,,locdetmyst
inu.30000042783591,6056230,3302677,,,London;G. Redway;1887?,1887,,,v.3,"Ghost stories, English",Dreamland and ghostland,,,locghost
mdp.39015066083661,2040236,52047650,,,New York;London;Harper & bros.;c1890,1890,,,,Ghost stories,Modern ghosts;,,,locghost
nnc1.0022035958,8394195,43496979,,,New York;White & Allen;1888,1888,,,v.5,Ghost stories;Short stories,Weird tid-bits,,,locghost
umn.31951002081141q,8560131,62602383,,,"London;Sherwood, Gilbert, and Piper [etc., etc.;1826.",1826,,,,Ghost stories,Legends of terror!,,,locghost
uc1.b249346,6501962,13864836,,,New York;J.S. Ogilvie;c1898.,1898,,1898,,"Detective and mystery stories, American","Seth Bond, or, A lost treasure mystery",,,locdetmyst
nnc1.0040976017,8394195,43496979,,,New York;White & Allen;1888,1888,,,v.2,Ghost stories;Short stories,Weird tid-bits,,,locghost
mdp.39015012876820,1901293,52047650,,,New York;Harper & brothers;1890.,1890,,,,Ghost stories,Modern ghosts,,,locghost
nyp.33433075732655,8667561,1376917,PZ1.S285Hu,,New York;London;G.P. Putnam's Sons;1921;([New York;The Knickerbocker Press),1921,,,,Ghost stories,Humorous ghost stories,,,locghost
uva.x030832557,9782899,21269234,,"Aldrich, Thomas Bailey,","Boston;Houghton, Mifflin;1897.",1897,1836,1880,v.6 1897,,The stillwater tragedy,us,m,det100
mdp.39076002657265,9930140,144204779,,"Aldridge, Janet.",Philadelphia;Henry Altemus;c1913.,1913,,,,Hazing;Conduct of life;Friendship;Girls;Camping;Ghost stories;Juvenile fiction,"The Meadow-Brook girls under canvas, or, Fun and frolic in the summer camp",,,locghost
mdp.39076002194574,9926874,1811552,,"Appleton, Victor.",New York;Grosset & Dunlap;c1911.,1911,,1911,,"Aeronautics;Detective and mystery stories;Juvenile fiction;Swift, Tom (Fictitious character)",Tom Swift and his sky racer,,,locdetmyst | juvenile
uiuo.ark+=13960=t2b85z60c,8721875,2026857,PR4034.N7 1818,"Austen, Jane,","London;John Murray, Albemarle-street;1818;(London;C. Roworth;T. Davison)",1818,1775,1818,v. 4,Rejection (Psychology);Books and reading;Motherless families;Young women;Horror tales;Appreciation;Ship captains;England;Fiction,Northanger Abbey,uk,f,lochorror
uiuo.ark+=13960=t09w14g77,8721875,2026857,PR4034.N7 1818,"Austen, Jane,","London;John Murray, Albemarle-street;1818;(London;C. Roworth;T. Davison)",1818,1775,1818,v. 1,Rejection (Psychology);Books and reading;Motherless families;Young women;Horror tales;Appreciation;Ship captains;England;Fiction,Northanger Abbey,uk,f,lochorror
uiuo.ark+=13960=t4km00443,8721875,2026857,PR4034.N7 1818,"Austen, Jane,","London;John Murray, Albemarle-street;1818;(London;C. Roworth;T. Davison)",1818,1775,1818,v. 3,Rejection (Psychology);Books and reading;Motherless families;Young women;Horror tales;Appreciation;Ship captains;England;Fiction,Northanger Abbey,uk,f,lochorror
uiuo.ark+=13960=t6zw24n6x,8721875,2026857,PR4034.N7 1818,"Austen, Jane,","London;John Murray, Albemarle-street;1818;(London;C. Roworth;T. Davison)",1818,1775,1818,v. 2,Rejection (Psychology);Books and reading;Motherless families;Young women;Horror tales;Appreciation;Ship captains;England;Fiction,Northanger Abbey,uk,f,lochorror
wu.89069113231,8995075,37709241,,"Bangs, John Kendrick,","New York;Harper & Brothers;1899, c1898.",1898,,,,"Ghost stories, American",Ghosts I have met and some others,,,locghost
uc1.b4103074,6155345,20916821,,"Baring-Gould, S.",London;Methuen;1904.,1904,,,,Ghost stories,A book of ghosts,,,locghost
mdp.39015074379739,5668909,47014670,,"Baum, L. Frank",Chicago;Reilly & Lee Co.;c1912.,1912,1856,1912,,Mystery and detective stories;Cousins;Uncles;Aunt Jane's Nieces (Fictitious characters);Newspaper publishing;Farm life;Fiction,Aunt Jane's nieces on vacation,,,locdetective
uc2.ark+=13960=t17m0b23x,7685922,3552190,,"Besant, Walter,",London;Chatto & Windus;1895.,1895,,,,Moral and ethical aspects;Science fiction;Inheritance and succession;Wealth;Scientists;Fiction,Beyond the dreams of avarice,,,locscifi
uc1.b3728033,6704620,1222065,PZ3.B482APS3503.I54,"Biggers, Earl Derr,",Indianapolis;Bobbs-Merrill;1916,1916,1884,1916,,"Police;Honolulu;Fiction;Chan, Charlie (Fictitious character);Hawaii;Honolulu (Hawaii)",The agony column,us,m,det100
njp.32101068138443,8967329,2110206,,"Bradshaw, William R.",New York;J. F. Douthitt;1892.,1892,1851,1892,,Science fiction,The goddess of Atvatabar,us,m,locscifi
mdp.39015000613680,1185912,9344265,PZ3.S64657Mac,"Bramah, Ernest,","London;Methuen & co., ltd.;1914",1914,1868,1914,,,Max Carrados,uk,m,det100
nyp.33433074929393,8663988,25494127,,"Williams, John Babbington,",New York;Dick & Fitzgerald;c1865,1865,1827,1865,,"Detectives;Cases;Brampton, James;New York (State)",Leaves from the note-book of a New York detective,us,m,locdetective
nyp.33433068179716,8622016,6599587,BF1461.B9,"Buckingham, Emma May.",New York;Fowler & Wells Co.;London;L.N. Fowler & Co.;c1906.,1906,,,,"Ghost stories, American",Modern ghost stories,,,locghost
nyp.33433074807342,123924,1949982,PZ3.B9766Ph,"Butler, Ellis Parker,",Boston;New York;Houghton Mifflin Company;1918.,1918,1869,1918,,,Philo Gubb,us,m,det100
