docid,recordid,oclc,locnum,author,imprint,date,birthdate,firstpub,enumcron,subjects,title,nationality,gender,genretags
nyp.33433082514302,1441797,1698283,PZ1.F885Be,"French, Joseph Lewis,",New York;Boni & Liveright;c1920].,1920,,,,Ghost stories,The best psychic stories,,,locghost
uc2.ark+=13960=t70v8bj6k,7647543,39486112,PZ1.F885Ma,"French, Joseph Lewis,","Garden City, N. Y.;Doubleday, Page;1922.",1922,,1922,v.3,Ghost stories;Short stories;Detective and mystery stories,Masterpieces of mystery,,,locdetmyst | locghost
uc2.ark+=13960=t9c53g45j,7647543,39486112,PZ1.F885Ma,"French, Joseph Lewis,","Garden City, N. Y.;Doubleday, Page;1922.",1922,,1922,v.1,Ghost stories;Short stories;Detective and mystery stories,Masterpieces of mystery,,,locdetmyst | locghost
uc1.32106006960592,7103227,9618288,,"Gaboriau, Emile,","New York;Scribner;1905, c1900.",1905,1832,1866,,,The widow Lerouge,fr,m,det100
nyp.33433075833354,1795880,30650664,,"Gaboriau, Emile,",New York;C. Scribner's sons;1906.,1906,1832,1867,,,The mystery of Orcival,fr,m,det100
mdp.39015030307881,1212443,22904937,PZ3.G113F6,"Gaboriau, Emile,","Boston;Little, Brown and company;1899.",1899,1832,1867,,,File no. 113,fr,m,det100
uc2.ark+=13960=t2h70dt42,7688203,13324493,,"Gibbon, Charles,","London;Sampson Low, Marston, Searle & Rivington;1888.",1888,1843,1888,v.1,Fiction;Detective and mystery stories;Social classes,Beyond compare,,,locdetmyst
uc2.ark+=13960=t4cn73z09,7688203,13324493,,"Gibbon, Charles,","London;Sampson Low, Marston, Searle & Rivington;1888.",1888,1843,1888,v.2,Fiction;Detective and mystery stories;Social classes,Beyond compare,,,locdetmyst
uc2.ark+=13960=t0cv4hf87,7688203,13324493,,"Gibbon, Charles,","London;Sampson Low, Marston, Searle & Rivington;1888.",1888,1843,1888,v.3,Fiction;Detective and mystery stories;Social classes,Beyond compare,,,locdetmyst
ien.35556027278860,11922564,1238387,,"Gowans, Adam L.",London;Gowans & Gray;1912;(1920 printing),1912,,,,Ghost stories,Famous ghost-stories by English authors,,,locghost
mdp.39015035566440,404338,8367751,,"Green, Anna Katharine,",New York;A. L. Burt co.;1906,1906,1846,1878,,,The Leavenworth case,us,f,det100
uc2.ark+=13960=t3222sk2s,7660530,21893050,,"Green, Anna Katharine,",New York;A.L. Burt;c1913.,1913,1846,1913,,,"Room number 3, and other detective stories",f,us,det100
uc1.b4104310,6155805,276196,,"Green, Anna Katharine,",New York;London;G.P. Putnam's sons;1899.,1899,1846,1899,,,Agatha Webb,us,f,det100
uva.x001307832,9782975,21309411,,"Green, Anna Katharine,",New York;G. P. Putnam's Sons;1906.,1906,1846,1888,,,Behind closed doors,us,f,det100
uc1.b3578701,6678144,12767085,PZ3.G8616A,"Greg, Percy,",London;Trübner;1880.,1880,,,v.2,"Science fiction, English",Across the zodiac,,,locscifi
dul1.ark+=13960=t3dz0xh78,6678144,12767085,PZ3.G8616A,"Greg, Percy,",London;Trübner;1880.,1880,,,v.1,"Science fiction, English",Across the zodiac,,,locscifi
njp.32101067645505,8961936,12851342,,"Griffith, Mary,","Philadelphia;Carey, Lea & Blanchard;1836.",1836,,,,"Science fiction, American","Camperdown, or, News from our neighbourhood",,,locscifi
uc2.ark+=13960=t3rv0jp0n,7688518,14250735,,"Hall, Anna Maria",London;R. Bentley;1832.,1832,1800,1832,v.1,Criminals;Detective and mystery stories;Fiction,The buccaneer,uk,f,locdetmyst
uc2.ark+=13960=t8ff3s14j,7688518,14250735,,"Hall, Anna Maria",London;R. Bentley;1832.,1832,1800,1832,v.3,Criminals;Detective and mystery stories;Fiction,The buccaneer,uk,f,locdetmyst
uc2.ark+=13960=t3hx1bd9t,7688518,14250735,,"Hall, Anna Maria",London;R. Bentley;1832.,1832,1800,1832,v.2,Criminals;Detective and mystery stories;Fiction,The buccaneer,uk,f,locdetmyst
nyp.33433074870266,7660911,6263120,,"Hamel, Felix John.","London;Simpkin, Marshall & Co.;1859.",1859,,1859,,Criminals;Smuggling;Fiction;Detective and mystery stories,"Harry Roughton, or, Reminiscences of a revenue officer",uk,m,locdetmyst
uc2.ark+=13960=t10p0xs0f,6533865,11601379,,"Harding, Ellison.",London;T. Fisher Unwin;1908.,1908,,,,Utopias;Science fiction,The woman who vowed,,,locscifi
nyp.33433074850870,8664795,13659278,PZ3.H2443Pr2,"Harris-Burland, J. B.","Boston;Little, Brown, and Co.;1904.",1904,,,,"Science fiction, English",The Princess Thora,,,locscifi
uc2.ark+=13960=t0pr7n71q,1463577,296462,PZ1.H31Lo,"Hawthorne, Julian,",New York;The Review of reviews co.;1909.,1909,,,v.9,,The lock and key library: classic mystery and detective stories;,,m,det100
nyp.33433082344916,7818078,2145323,PZ7.H772Oua 1913,"Hope, Laura Lee.",New York;Grosset & Dunlap;c1913,1913,,1913,,Adventure stories;Detective and mystery stories;Camping;Boats and boating;Horses;Juvenile fiction,The outdoor girls at Rainbow Lake,,,locdetmyst | drop | juvenile
nyp.33433082332077,8689217,2574268,,"Hope, Laura Lee.",New York;Grosset & Dunlap;c1917.,1917,,1917,,Bobbsey Twins (Fictitious characters);Twins;Juvenile fiction;Detective and mystery stories,The Bobbsey twins on Blueberry Island,,,locdetmyst | juvenile | drop
nyp.33433082344874,5346603,2109184,,"Hope, Laura Lee.",New York;Grosset & Dunlap;1919.,1919,,1919,,Washington (D.C.);Bobbsey Twins (Fictitious characters);Juvenile fiction;Twins;Detective and mystery stories,The Bobbsey twins in Washington,,,locdetmyst | drop | juvenile
nyp.33433082332051,5104159,2683185,,"Hope, Laura Lee.",New York;Grosset & Dunlap;c1916.,1916,,1916,,Treasure troves;Bobbsey Twins (Fictitious characters);Detective and mystery stories;Twins;Juvenile fiction;Pirates,The Bobbsey twins at home,,,locdetmyst | drop | juvenile
mdp.39015039487205,1416899,2576341,,"Hope, Laura Lee.",New York;Grosset & Dunlap;1904.,1904,,1904,,Bobbsey Twins (Fictitious characters);Twins;Juvenile fiction;Detective and mystery stories,The Bobbsey twins;,,,locdetmyst | juvenile
nyp.33433082305644,5104161,2574200,PZ7.H772Bd,"Hope, Laura Lee.",New York;Grosset & Dunlap;c1918.,1918,,1918,,Treasure troves;Bobbsey Twins (Fictitious characters);Detective and mystery stories;Twins;Juvenile fiction;Pirates,The Bobbsey twins on the deep blue sea,,,locdetmyst | drop | juvenile
nyp.33433082305636,5805695,3677737,,"Hope, Laura Lee.",New York;Grosset & Dunlap;1917.,1917,,1917,,Bobbsey Twins (Fictitious characters);Twins;Juvenile fiction;Detective and mystery stories,The Bobbsey twins in a great city,,,locdetmyst | drop | juvenile
nyp.33433082332069,5805688,1410101,,"Hope, Laura Lee.",New York;Grosset and Dunlap;1922,1922,,1922,,Bobbsey Twins (Fictitious characters);Twins;Juvenile fiction;Detective and mystery stories,The Bobbsey Twins at the county fair,,,locdetmyst | drop | juvenile
nyp.33433082305628,5805691,4153330,,"Hope, Laura Lee.",New York;Grosset & Dunlap;c1920.,1920,,1920,,Cowboys;Bobbsey Twins (Fictitious characters);Twins;Juvenile fiction;Detective and mystery stories,The Bobbsey twins in the great west,,,locdetmyst | drop | juvenile
nyp.33433082332010,5104160,9613473,PS3515.O585B603 1907,"Hope, Laura Lee.",New York;Grosset & Dunlap;c1907.,1907,,1907,,Seashore;Bobbsey Twins (Fictitious characters);Twins;Juvenile fiction;Detective and mystery stories,The Bobbsey twins at the seashore,,,locdetmyst | juvenile | drop
njp.32101063580268,8916598,17653915,,"Hume, Fergus,",London;Jarrolds Limited;190-?,1900,1859,1886,,,The mystery of a hansom cab,uk,m,det100
njp.32101076806486,9033917,401337,GR455.L5,"Le Braz, Anatole,",London;G. Redway;1898.,1898,,,,Brittany;Folklore;France;Ghost stories;Death,Dealings with the dead;,,,locghost
uva.x000429691,9781843,7270815,,"Leblanc, Maurice,",New York;W. R. Caldwell;c1913,1913,1864,1913,,,The confessions of Arsène Lupin;,fr,m,det100
uva.x001752097,9794563,704115751,,"Leroux, Gaston,",New York;Grosset & Dunlap;1910,1910,1868,1910,,,The mystery of the yellow room,fr,m,det100
uc2.ark+=13960=t5n874v29,7666192,320092736,,"Lynch, Lawrence L.","Chicago;A.T. Loyd;1886, c1885.",1886,1853,1885,,,"Dangerous ground, or, The rival detectives",us,f,det100
mdp.39015006963881,245776,3692078,PZ3.M382At,"Mason, A. E. W.",New York;Grosset & Dunlap;1910,1910,1865,1910,,,At the Villa Rose,uk,m,det100
uc1.b3386909,6284127,2567964,HV7914.M3,"McWatters, George S",Hartford;J. B. Burr and Hyde;1871,1871,1812,1871,,Detectives,Knots untied,,,locdetective
uc1.b4105459,6156317,4512180,,"Morrison, Arthur,",New York;Harper;1907.,1907,1863,1894,,,"Martin Hewitt, investigator",uk,m,det100
njp.32101067301786,8957320,20905368,PR8389.S575M8 1922a,"Munford, George Frederick.",London;Somerset Folk Press;1922.,1922,,,,England;Legends;Ghost stories;Somerset,Ghosts and legends of South Somerset,,,locghost
uc2.ark+=13960=t4qj79t1j,7668984,5338172,,"Orczy, Emmuska Orczy,","New York;Dodd, Mead & Company;1909.",1909,1865,1909,,,The man in the corner,uk,f,det100
nyp.33433076024060,8690139,16402623,PZ3.O815 #b Se,"Osborne, Duffield,",New York;London;G.P. Putnam's Sons;1900.,1900,,,,"Science fiction, American",The secret of the crater,,,locscifi
nyp.33433075749287,8666794,9825754,PZ3.O85A,"Ostrander, Isabel,",New York;W.J. Watt & Company;c1915].,1915,1883,1915,,,At one-thirty,us,f,det100
nyp.33433076054620,8659658,4412484,PS3529.S68T78 1919,"Ostrander, Isabel,",New York;W.J. Watt & Company;c1919.,1919,1883,1919,,,The twenty-six clues,us,f,det100
nyp.33433074954656,8665125,10294318,PZ3.C9126W,"Owen, Harle Oren.","Boston, Mass.;Mutual Book Co.;c1902.",1902,,,,"Science fiction, American",Welsh rarebit tales,,,locscifi
uc2.ark+=13960=t7np1xq4d,6934614,3715366,,"Pease, Howard,",London;E. Macdonald;1919.,1919,,,,Ghost stories,Border ghost stories,,,locghost
uc2.ark+=13960=t6zw19x28,7646115,2329444,PZ3.P592Ch,"Pidgin, Charles Felton,",Boston;L. C. Page & Co.;1912.,1912,1844,1912,,,"The chronicles of Quincy Adams Sawyer, detective",us,m,det100
uc2.ark+=13960=t5bc3wr6q,7670294,12719329,,"Pinkerton, Allan,","New York;G.W. Carleton & Co.; [etc., etc.;1882, c1879.",1879,1819,1879,,Detectives,Mississippi outlaws and the detectives,us,m,locdetective
uc1.$b813836,9946682,,,"Pinkerton, Allan,",New York;Dillingham;c1909,1909,1819,1881,,Detectives;Correspondence;United States,The rail-road forger and the detectives,us,m,locdetective
uc1.$b813837,9946683,,,"Pinkerton, Allan,",New York;G. W. Dillingham co.;c1907,1907,1819,1881,,Detectives,The gypsies and the detectives,us,m,locdetective | drop
uc1.$b813839,9946685,,,"Pinkerton, Allan,",New York;G.W. Dillingham;1900 [c1883,1900,1819,,,Detectives,The burglar's fate and the detectives,us,m,locdetective | drop
njp.32101068784931,8975160,6383208,,"Pinkerton, Allan,",New York;G. W. Dillingham Co.;1900,1900,1819,1878,,"Correspondence, reminiscences, etc;Detectives;Criminal investigation;United States",Criminal reminiscences and detective sketches,us,m,locdetective | drop
uc1.$b813705,9946595,,,"Pinkerton, Allan,",New York;Dillingham;c1905,1905,1819,1876,,Detectives;United States,The spiritualists and the detectives,us,m,locdetective
njp.32101031806142,1744766,385323,,"Pinkerton, Allan,",Chicago;W.B. Keen & Cooke;1874.,1874,1819,1874,,Detectives,The expressman and the detective,us,m,locdetective
njp.32101068784923,8975159,7907741,,"Pinkerton, Allan,",New York;Dillingham;1900,1900,1819,1886,,"Correspondence, reminiscences, etc;Detectives;United States",Professional thieves and the detective;,us,m,locdetective | drop
njp.32101031806159,6154545,6030345,,"Pinkerton, Allan,","Chicago;W. B. Keen, Cooke;1875.",1875,1819,1875,,Detective and mystery stories,Claude Melnotte as a detective,us,m,locdetmyst
uc1.b4101416,6154545,6030345,,"Pinkerton, Allan,","Chicago;W. B. Keen, Cooke;1875.",1875,1819,1875,,Detective and mystery stories,Claude Melnotte as a detective,us,m,locdetmyst
uc2.ark+=13960=t9t14vb5t,1744766,385323,,"Pinkerton, Allan,",Chicago;W.B. Keen & Cooke;1874.,1874,1819,1874,,Detectives,The expressman and the detective,us,m,locdetective
mdp.39015031447595,1744767,47719956,,"Pinkerton, Allan,",New York;Dillingham;1880,1880,1819,1880,,Detectives,Bucholz and the detectives,us,m,locdetective | drop
uc2.ark+=13960=t1qf8mn3h,7646118,7849145,HV7914.P62,"Pinkerton, Allan,",New York;G.W. Carleton & Co. [etc.;1876.,1876,1819,1900,,Detectives,The model town and the detectives,us,m,locdetective | drop
uc2.ark+=13960=t43r0q389,7670295,597310,,"Pinkerton, Allan,",New York;G. W. Dillingham Co.;1903,1903,1819,1875,,Detectives,The somnambulist and the detective,us,m,locdetective | drop
njp.32101065766410,9404292,477761,,"Pinkerton, Allan,",New York;G. W. Dillingham;1900.,1900,1819,1900,,Detectives,The model town and the detectives,us,m,locdetective | drop
uc2.ark+=13960=t0bv79z1x,7682514,2612191,,"Poe, Edgar Allan,",London;Sidgwick & Jackson;1909.,1909,1809,1845,,,Selected tales of mystery,us,m,det100
mdp.39015011950766,205913,26231984,PZ3.P844St,"Post, Melville Davisson,",New York [etc.;G. P. Putnam's sons;1896.,1896,1869,1896,,,The strange schemes of Randolph Mason,m,us,det100
mdp.39015010776881,205914,1016010,PZ3.P844U,"Post, Melville Davisson,",New York;London;D. Appleton and company;1918.,1918,1869,1918,,,"Uncle Abner, master of mysteries",us,m,det100
mdp.39015011950758,205906,7041750,,"Post, Melville Davisson,",New York;London;G. P. Putnam's sons;1928.,1923,1869,1909,,,"Randolph Mason, corrector of destinies",us,m,det100
nyp.33433076047871,8660161,3336052,,"Reeve, Arthur B.","New York;Van Rees Press;1915, c1914.",1914,1880,1914,,American fiction,The dream doctor,us,m,det100
uc2.ark+=13960=t5j961w9x,7682673,24992290,,"Reeve, Arthur B.",New York;Harper;c1911,1911,1880,1911,,,The poisoned pen,us,m,det100
uc2.ark+=13960=t8z89353s,7670869,2338963,,"Reeve, Arthur B.",New York;Harper;1913.,1913,1880,1913,,,"Constance Dunlap, woman detective",us,m,det100
mdp.39015005108595,1277224,1154670,PZ1.R35Ha,"Rhys, Ernest,",London;D. O'Connor;1921.,1921,,,,Ghost stories,The haunters & the haunted;,,,locghost
uc2.ark+=13960=t3707xt9q,7671080,4280505,,"Rinehart, Mary Roberts,",New York : Review of Reviews;1908.,1908,1876,1908,,,The circular staircase,us,f,det100 | locdetmyst
nyp.33433076053762,8659914,3656581,,"Rinehart, Mary Roberts,",Indianapolis;The Bobbs-Merrill Company;c1913.,1913,1876,1913,,,The case of Jennie Brice,us,f,det100
uc2.ark+=13960=t83j39v3z,7649263,37033520,,"Rinehart, Mary Roberts,",New York;Grosset & Dunlap;c1909.,1909,1876,1909,,,The man in lower ten,us,f,det100
umn.319510024638086,11223763,3453283,PZ7.A498Daa 1915,"Rockwood, Roy.",New York;Cupples & Leon;c1915.,1915,,1915,,"Dashaway, Dave (Fictitious character);Air pilots;Detective and mystery stories;Aeronautics;Piloting;Juvenile fiction;Fiction;Airplanes","Dave Dashaway, air champion, or, Wizard work in the clouds",us,m,locdetmyst | juvenile
uc2.ark+=13960=t9474d81g,7692227,13352223,,"Russell, William Clark,",London;Chatto;1898.,1898,1844,1876,,,Is he the man?,uk,m,det100
mdp.39076002286230,9926708,10413912,,"Seaman, Augusta Huiell,","New York;Century;1923, c1915.",1915,1879,1915,,Abandoned houses;Juvenile fiction;Girls;Detective and mystery stories,The boarded-up house,us,f,locdetmyst | juvenile | drop
mdp.39076002607435,9929466,18717400,,"Seaman, Augusta Huiell,",New York;Century;c1917.,1917,1879,1917,,Orphans;Detective and mystery stories;Conduct of life;Friendship;Girls;Loneliness;Solitude;Juvenile fiction,The girl next door,us,f,locdetmyst | juvenile
mdp.39076002194368,9926721,23916790,,"Seaman, Augusta Huiell,",New York;Century;c1921.,1921,1879,1921,,Paper money;Detective and mystery stories;Juvenile fiction;Girls;China,The dragon's secret,us,f,locdetmyst | juvenile | drop
nyp.33433075746895,8667440,2160312,PS3537.E69C64 1911,"Serviss, Garrett Putman,",New York;London;D. Appleton and Company;1911.,1911,,,,Science fiction,A Columbus of space,,,locscifi
inu.39000005852087,1277225,2608863,,"Seymour, St. John D.","Dublin;Hodges, Figgis & co., ltd.; [etc., etc.;1914.",1914,,,,Ireland;Ghost stories;Ghosts,True Irish ghost stories,,,locghost
mdp.39076002660483,9930255,3194900,,"Snell, Roy J.",Chicago;The Reilly & Lee;c1920.,1920,,1920,,Adventure stories;Detective and mystery stories;Juvenile fiction,Triple spies,,,locdetmyst | juvenile
uiuo.ark+=13960=t3223k32d,8723979,57296189,,"Speight, T. W.",London;Tinsley Brothers;1869.,1869,1830,1868,v.2,,Under lock and key; a story,uk,m,det100
nyp.33433082514187,8654255,18453068,,"St. Clair, Henry.",Philadelphia;J. Harding;1848.,1848,,,,Supernatural in literature;Ghost stories,"Tales of terror; or, The mysteries of magic",,,locghost
mdp.39015063960556,249234,48101478,,"Stevenson, Burton Egbert,","New York;Dodd, Mead and company;1921.",1921,1872,1920,,,The gloved hand;,us,m,det100
nyp.33433075763080,7673651,1935922,PZ3.T674A1,"Tracy, Louis,",New York;R. F. Fenno & Company;1904.,1904,1863,1904,,,The Albert Gate mystery,uk,m,det100
uc2.ark+=13960=t1zc7v45r,7676125,6056454,,"Vance, Louis Joseph,",New York;A. L. Burt;c19l4.,1914,1879,1914,,,The lone wolf,us,m,det100
hvd.32044020321865,9721921,3859253,<blank>,"Vidocq, Eugène François,",,1834,,1829,,,Memoirs of Vidocq,fr,m,det100
nyp.33433076056781,6155283,20963778,PS3144.W212R46 1891,"Ward, Herbert Dickinson,",New York;Tait;c1891.,1891,,,,"Science fiction, American",A republic without a president and other stories,,,locscifi
nyp.33433076073786,8660028,4530196,PZ3.W463GlPS3545.E533,"Wells, Carolyn,",Philadelphia;Lippincott;1911.,1911,1862,1911,,,The gold bag,us,f,det100
nyp.33433076073893,8660082,9245716,PS3545.E563V3 1922,"Wells, Carolyn,",New York;George H. Doran Company;c1922.,1922,1862,1922,,,The vanishing of Betty Varian,us,f,det100
nyp.33433076076144,323903,19933920,PZ3.W463Br,"Wells, Carolyn.",New York;George H. Doran Company;c1916,1916,1862,1916,,,The bride of a moment,us,f,det100
njp.32101021206436,8886538,2160254,PZ3.W465Fi2,"Wells, H. G.",Indianapolis;The Bowen-Merrill company;1901,1901,,,,Science fiction,The first men in the moon,,,locscifi
coo.31924013568781,8668045,2320066,PR5774.T3 1920,"Wells, H. G.",Leipzig;B. Tauchnitz;1900.,1900,,,,"Science fiction, English",Tales of space and time,,,locscifi
uc1.32106001959946,7120624,660430,,"Wells, H. G.","London;Macmillan and co., limited;1904.",1904,,,,"Science fiction, English",The food of the gods and how it came to earth,,,locscifi
dul1.ark+=13960=t80k32x0x,10944187,2338373,PZ3.W465Whe,"Wells, H. G.",New York;London;Harper & brothers;1899.,1899,,,,Science fiction,When the sleeper wakes,,,locscifi
nyp.33433075737753,8669383,4966570,PZ3.F859Ju,"Franzos, Karl Emil,",New York;Harper & brothers;1891.,1891,1848,1890,,,Judith Trachtenberg,ah,m,random
uc1.b249543,6502085,2949584,,"Barr, Amelia Edith Huddleston,","New York;Dodd, Mead;1898, c1885.",1898,1831,1898,,,The lost silver of Briffault,uk,f,random
uva.x030743237,9776611,46702875,PZ7.S437Do4,"Scudder, Horace Elisha,","Boston;Houghton, Mifflin andcompany;1892",1880,1838,1880,,,Doings of the Bodley family in town and country,us,m,random
uc2.ark+=13960=t3pv6dr2h,6497282,1484027,Z682.5.P31,"Pearson, Edmund Lester,","Boston;Small, Maynard and company;c1911.",1911,1880,1911,,Anecdotes;Librarians;Libraries,The librarian at play,us,m,random
