volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,trainflag,trainsize,author,title,genretags
10312,1929,1929,1885,1929,m,us,138414,0.181957804927,0,1,390,"Lewis, Sinclair,",Dodsworth,teamblack | chirandom
uva.x000459624,1897,1897,1840,1897,m,uk,74230,0.332734440852,0,1,391,"Hardy, Thomas,",The well-beloved;,teamblack | random
EllisSteamManPrairies1868,1868,1880,1840,1868,m,us,29636,0.757207198312,1,1,391,"Ellis, Edward S.",The Steam Man of the Prairies,stew | anatscifi | teamblack
23514,1964,1964,1905,1964,m,uk,120463,0.284507452541,0,1,391,"Snow, C. P.",Corridors of power,teamblack | chirandom
nyp.33433075818611,1876,1878,1842,1876,f,fr,81966,0.223624914263,0,1,391,"Gréville, Henry,",Marrying off a daughter,random | teamred
nyp.33433076056781,1891,1891,0,1891,m,,61633,0.550293135474,1,1,391,"Ward, Herbert Dickinson,",A republic without a pres,stew | teamblack | locscifi
22488,1986,1986,1923,1986,m,us,124379,0.732546230353,1,1,390,"Dickson, Gordon R,",The forever man,chiscifi | teamred
21221,1974,1974,1933,1974,m,us,97181,0.434644882639,0,1,391,"Stark, Richard,",Butcher's moon,crime | teamblack | chirandom
11927,1950,1950,1886,1950,m,uk,77942,0.43957523,1,1,388,"Stapledon, Olaf,",A man divided,chiscifi | teamred
nyp.33433074857248,1905,1909,1879,1905,m,uk,83742,0.304770366318,0,1,391,"Gibbon, Perceval,",Salvator,teamblack | random
10086,1930,1930,1862,1930,m,us,59534,0.420131948283,0,1,391,"Stratemeyer, Edward,",With Taylor on the Rio Gr,teamblack | chirandom
nyp.33433076060874,1865,1865,1801,1865,m,us,209463,0.393209914395,0,1,391,"Murdoch, David.",The Royalist's daughter a,random | teamred
20380,1959,1959,0,1959,f,us,185134,0.297541105889,0,1,391,"Kirkland, Elithe Hamilton",Love is a wild assault,teamblack | chirandom
21330,1976,1976,1929,1976,m,us,84809,0.280355096177,0,1,391,"Jenkins, Dan,",Limo,chirandom | teamred
11316,1931,1931,1882,1931,m,uk,152486,0.407265380569,0,1,391,"Armstrong, Martin,",The romantic adventures o,teamblack | chirandom
uc2.ark+=13960=t45q4sn3p,1893,1894,1857,1893,m,uk,35449,0.564963263195,1,1,391,"Griffith, George Chetwynd",The angel of the revoluti,anatscifi | teamblack
11013,1950,1950,1912,1950,m,us,53682,0.600453563371,1,1,391,"Van Vogt, A. E. 1912-2000",The house that stood stil,teamblack | chiscifi | chirandom
21028,1972,1972,1921,1972,f,us,84647,0.194942417425,0,1,391,"Highsmith, Patricia,",A dog's ransom,crime | chirandom | teamred
21423,1977,1977,1946,1977,m,us,76430,0.794299326117,1,1,389,"Foster, Alan Dean,",The end of the matter,chiscifi | chirandom | teamred
20480,1962,1962,1920,1962,m,us,63879,0.418475627932,1,1,390,"Bradbury, Ray,",Something wicked this way,teamblack | chiscifi | chihorror
uc2.ark+=13960=t10p0xs0f,1908,1908,1883,1908,m,us,63537,0.441550079526,1,1,391,"Harding, Ellison.",The woman who vowed,teamblack | locscifi
11156,1925,1925,1862,1925,m,uk,75933,0.344605646308,0,1,391,"Phillpotts, Eden,",A voice from the dark,det100 | teamblack | chirandom | stew
21286,1975,1975,1935,1975,m,us,68461,0.619415097348,1,1,390,"Silverberg, Robert,",The stochastic man,stew | teamblack | chiscifi
10832,1946,1946,0,1946,,us,66846,0.882074585446,1,1,391,"Van Vogt, A. E. 1912-  (A",Slan,stew | teamblack | chiscifi
23165,1989,1989,1952,1989,m,us,178287,0.473501333541,1,1,391,"Powers, Tim,",The stress of her regard,chiscifi | teamred | chifantasy
20677,1966,1966,1922,1966,m,us,82684,0.320146655578,0,1,391,"Capps, Benjamin,",A woman of the people,chirandom | teamred
10968,1949,1949,1896,1949,m,us,67097,0.805849250061,1,1,391,"Zagat, Arthur Leo,",Seven out of time,teamblack | chiscifi
10862,1947,1947,1906,1947,m,us,135281,0.420975887732,0,1,391,"Myers, John Myers,",The wild Yazoo,chirandom | teamred
dul1.ark+=13960=t16m3xm4f,1922,1922,1872,1922,f,uk,67151,0.658052440981,1,1,391,"Hamilton, Cicely,",Theodore savage,anatscifi | teamred | femscifi
