volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,trainflag,trainsize,author,title,genretags
10622,1940,1940,1890,1940,f,us,64933,0.766526837776,1,1,496,"Reilly, Helen,",The dead can tell,chimyst | stew | teamred
21335,1976,1976,1908,1976,m,us,97613,0.247761583146,0,1,496,"L'Amour, Louis,",To the Far Blue Mountains,teamblack | chirandom
nyp.33433074970710,1920,1920,1890,1920,f,uk,71600,0.802611589672,1,1,492,"Christie, Agatha,",The mysterious affair at ,teamblack | det100 | cozy
PoePurloinedLetter1845,1845,1845,1809,1845,m,us,7065,0.894701421801,1,1,495,"Poe, Edgar Allan,",The Purloined Letter (short story),det100 | teamred
4599,1921,1921,1894,1921,m,us,26593,0.123685194436,0,1,497,"Nathan, Robert,",Autumn,chirandom | teamred
21851,1981,1981,1934,1981,m,us,63052,0.254889016356,0,1,497,"Jones, Robert F.",Slade's glacier,chirandom | teamred
uc1.b249543,1898,1898,1831,1898,f,uk,83269,0.166326703556,0,1,497,"Barr, Amelia Edith Huddle",The lost silver of Briffa,teamblack | random
11101,1940,1940,1888,1940,m,us,80894,0.744774821329,1,1,496,"Chandler, Raymond,",Farewell My Lovely,teamblack | det100 | stew | hardboiled
21126,1973,1973,1936,1973,f,us,217500,0.241275667311,0,1,497,"Piercy, Marge,",Small changes,chirandom | teamred
nyp.33433074857248,1905,1909,1879,1905,m,uk,83742,0.393719160515,0,1,497,"Gibbon, Perceval,",Salvator,teamblack | random
uc2.ark+=13960=t0js9hc64,1887,1887,1883,1887,f,us,90502,0.318498517564,0,1,497,"Clarke, Rebecca Sophia,",Drones' honey,teamblack | random
mdp.39015063960556,1920,1921,1872,1920,m,us,87296,0.714144847901,1,1,497,"Stevenson, Burton Egbert,",The gloved hand;,teamblack | det100
nyp.33433075761720,1888,1888,1838,1888,m,uk,58823,0.726795643147,0,1,496,"Farjeon, B. L.",Miser Farebrother,teamblack | random
20767,1967,1967,1916,1967,m,us,55671,0.724011906215,1,1,496,"Vance, Jack,",The Pleasant Grove murder,chimyst | teamblack
uc2.ark+=13960=t9668pw05,1894,1894,1833,1894,m,fr,27876,0.210515452083,0,1,496,"Theuriet, André,",The Abbé Daniel,teamblack | random
21088,1973,1973,1916,1973,f,us,56791,0.730309643568,1,1,496,"Davis, Dorothy Salisbury,",The little brothers,chimyst | teamblack | chirandom
uc2.ark+=13960=t3707xt9q,1908,1908,1876,1908,f,us,84221,0.746966218787,1,1,494,"Rinehart, Mary Roberts,",The circular staircase,det100 | locdetmyst | teamred
20008,1951,1951,1916,1951,f,us,65918,0.571365688816,1,1,496,"Davis, Dorothy Salisbury,",A gentle murderer,chimyst | teamblack
20044,1952,1952,1920,1952,m,us,73718,0.296095403261,0,1,496,"Asimov, Isaac,",Foundation and empire,teamblack | stew | chirandom | chiscifi
10828,1946,1946,1886,1946,m,us,72640,0.817837473443,1,1,489,"Stout, Rex,",The silent speaker,chimyst | det100 | teamred
uc2.ark+=13960=t9t14vb5t,1874,1874,1819,1874,m,us,80160,0.635803269015,1,1,491,"Pinkerton, Allan,",The expressman and the de,locdetective | teamred
uc2.ark+=13960=t5db7zr5v,1879,1879,1839,1879,m,us,53824,0.284326695745,0,1,497,"Adams, Robert Chamblet,","On board the ""Rocket""",teamblack | random
4748,1922,1922,1877,1922,m,us,33444,0.214072721099,0,1,496,"Traprock, Walter E.",My northern exposure,teamblack | chirandom
mdp.39015010776881,1918,1918,1869,1918,m,us,100008,0.520346834004,1,1,495,"Post, Melville Davisson,","Uncle Abner, master of my",teamblack | det100 | stew
11339,1931,1931,1883,1931,m,uk,59271,0.76650845607,1,1,497,"Rohmer, Sax,",Daughter of Fu Manchu,chimyst | teamblack | stew
21094,1973,1973,1933,1973,m,us,132491,0.0643425841121,0,1,497,"Gardner, John,",Jason and Medeia,chifantasy | chirandom | teamred
nnc1.cu01664417,1900,1917,1869,1900,m,us,57029,0.335281235166,0,1,497,"Tarkington, Booth,",Monsieur Beaucaire,teamblack | random
mdp.39015063096088,1922,1922,1892,1922,f,us,33370,0.169245775205,0,1,497,"Squier, Emma-Lindsay,",The wild heart,random | teamred
10688,1942,1942,1908,1942,m,us,82671,0.787435399349,1,1,497,"Rice, Craig,",The big midget murders,chimyst | teamblack | det100
20734,1967,1967,1916,1967,m,us,111236,0.623598521223,1,1,497,"Ellin, Stanley,",House of cards,chimyst | teamblack
20083,1953,1953,1920,1953,m,us,71330,0.325808923588,0,1,496,"Asimov, Isaac,",Second foundation,stew | chirandom | chiscifi | teamred
22628,1987,1987,1913,1987,f,us,53164,0.576634287888,1,1,496,"Braun, Lilian Jackson,",The cat who played Brahms,chimyst | teamred
22732,1987,1987,1926,1987,f,us,138136,0.297268426376,0,1,497,"McCaffrey, Anne,",The lady,chirandom | teamred
10862,1947,1947,1906,1947,m,us,135281,0.368405443449,0,1,497,"Myers, John Myers,",The wild Yazoo,chirandom | teamred
22097,1983,1983,1922,1983,f,us,75826,0.619859702703,1,1,495,"MacLeod, Charlotte,",Something the cat dragged,chimyst | stew | chirandom | teamred
10746,1944,1944,1904,1944,f,us,62925,0.616105247142,1,1,497,"Hughes, Dorothy B.",The delicate ape,chifantasy | teamblack | chimyst
20049,1952,1952,1906,1952,m,us,60819,0.794217867664,1,1,495,"Brown, Fredric,",Deep end,chimyst | stew | teamred
11073,1942,1942,1897,1942,m,uk,76728,0.320087840742,0,1,497,"Knight, Eric,",Sam Small flies again (Th,teamblack | chirandom
11121,1924,1924,1863,1924,m,uk,68139,0.835869430357,1,1,497,"Fletcher, J. S.",The safety pin,chimyst | teamblack
11803,1946,1946,1899,1946,m,uk,82607,0.20760956218,0,1,497,"Forester, C. S.",Lord Hornblower,teamblack | chirandom
22766,1987,1987,0,1987,m,us,61784,0.675502818713,1,1,497,"Ray, Robert J. 1935-  (Ro",Murdock for hire,chimyst | teamblack | stew
uiuo.ark+=13960=t48p6974b,1868,1868,1813,1868,m,uk,54053,0.578329726298,0,1,497,"Capes, J. M.",The mosaic-worker's daugh,teamblack | random
uc2.ark+=13960=t23b5ww6x,1922,1922,0,1922,m,,65363,0.524792646363,1,1,494,"French, Joseph Lewis,",Masterpieces of mystery,teamblack | locghost | locdetmyst
4605,1921,1921,1888,1921,f,us,83441,0.400309085946,0,1,497,"Putnam, Nina Wilcox,",West Broadway,chirandom | teamred
uiuo.ark+=13960=t42r4bj1d,1867,1867,1830,1867,m,uk,52352,0.392251657659,0,1,497,"Kirkus, William,",Only to be married,teamblack | random
22894,1988,1988,1945,1988,m,us,67320,0.501133146244,1,1,497,"Grissom, Ken,",Drop-off,chimyst | teamblack | stew | chirandom
coo.31924013525971,1908,1908,1855,1908,m,uk,84622,0.445003113174,0,1,497,"Moore, Frank Frankfort,",An amateur adventuress,random | teamred
10916,1948,1948,1904,1948,m,us,95322,0.226941878804,0,1,497,"Skinner, B. F.",Walden Two,teamblack | chirandom | chiutopia
22029,1982,1982,1924,1982,m,us,79868,0.779361619937,1,1,496,"Wilcox, Collin,",Stalking horse,chimyst | teamblack | stew
uc2.ark+=13960=t83j39v3z,1909,1909,1876,1909,f,us,79211,0.686659771419,1,1,494,"Rinehart, Mary Roberts,",The man in lower ten,teamblack | det100
20544,1963,1963,1922,1963,m,us,32138,0.126828660253,0,1,497,"Kerouac, Jack,",Visions of Gerard,teamblack | chirandom
nyp.33433074880075,1871,1871,1837,1871,f,uk,131883,0.277560223291,0,1,497,"Marryat, Florence,",Her lord and master,teamblack | random
uc1.32106006960592,1866,1905,1832,1866,m,fr,149124,0.490559021707,1,1,495,"Gaboriau, Emile,",The widow Lerouge,det100 | teamred
21453,1977,1977,0,1977,f,us,156910,0.22714437622,0,1,497,"Michaels, Fern,",Captive passions,teamblack | chirandom
20240,1956,1956,1916,1956,m,us,51382,0.640037832766,0,1,494,"MacDonald, John D.",You live once,teamblack | chirandom
10526,1937,1937,1866,1937,m,us,91668,0.20077383549,0,1,497,"Pseudoman, Akkad,",Zero to eighty,teamblack | chirandom | chiscifi
22692,1987,1987,1953,1987,m,us,108952,0.522119961978,1,1,497,"Hiaasen, Carl,",Double whammy,chimyst | chirandom | teamred
21211,1974,1974,1911,1974,m,us,52252,0.73846689471,1,1,495,"Platt, Kin,",The giant kill,chimyst | stew | teamred
PoeRueMorgue1841,1841,1841,1809,1841,m,us,13811,0.881099625097,1,1,495,"Poe, Edgar Allan,",The Murder in the Rue Morgue (short story),teamblack | det100
10814,1946,1946,1889,1946,m,us,66242,0.796773868136,1,1,497,"Fair, A. A.",Crows can't count,chimyst | det100 | teamred
nyp.33433076060080,1910,1914,1873,1910,m,us,145372,0.312119020756,0,1,497,"Palmer, Frederick,",The big fellow,teamblack | random
10086,1930,1930,1862,1930,m,us,59534,0.301629056616,0,1,497,"Stratemeyer, Edward,",With Taylor on the Rio Gr,teamblack | chirandom
11468,1935,1935,1895,1935,f,nz,61344,0.752652927371,1,1,495,"Marsh, Ngaio,",The nursing home murder,chimyst | teamblack | cozy | chirandom
11383,1932,1932,1899,1932,m,uk,88473,0.59319392439,0,1,496,"Shute, Nevil,",Lonely road,chirandom | teamred
nyp.33433076060874,1865,1865,1801,1865,m,us,209463,0.272101172483,0,1,497,"Murdoch, David.",The Royalist's daughter a,random | teamred
23601,1987,1987,1954,1987,f,uk,253701,0.155829856774,0,1,497,"Gregory, Philippa,",Wideacre,chirandom | teamred
uc1.b3123600,1913,1913,1872,1913,f,us,59945,0.339779165476,0,1,497,"Abbott, Eleanor Hallowell",The white linen nurse,teamblack | random
mdp.39015000541717,1885,1885,1839,1885,m,uk,35288,0.102061638845,0,1,497,"Pater, Walter,",Marius the Epicurean,random | teamred
nyp.33433076076144,1916,1916,1862,1916,f,us,82564,0.717133777645,1,1,494,"Wells, Carolyn,",The bride of a moment,det100 | teamred
uc1.b3728033,1916,1916,1884,1916,m,us,30444,0.596231249201,1,1,496,"Biggers, Earl Derr,",The agony column,teamblack | det100 | stew
